Time (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19.78,165.16,0.19,149.3,262.58,208.83,5.6,27.81,66.06,282.36,11.76,6.91,152.1,34.15,19.41,14.37,99.1,19.78,81.37,587.87,203.05,162.18,665.31,367.84,15.12,0,211.26,250.82,370.64,156.58,258.1,7.65,330.14,14.37,187.37,6.53,396.02,0,229.36,29.86,3.17,146.13,0,174.68
0.703,32.85,207.34,7.28,179.53,283.3,256.23,17.54,39.75,90.89,282.36,7.28,5.6,224.7,54.49,54.31,38.07,106.56,22.21,94.62,727.09,277.7,273.4,888.52,381.27,21.84,0,226.56,428.86,396.02,209.95,298.79,6.53,354.4,14.93,230.67,10.45,442.3,0,229.36,54.87,8.96,197.07,0,191.66
1.404,47.78,242.24,22.77,195.77,311.1,295.43,15.68,33.78,73.72,318.75,16.8,4.67,198.19,66.62,77.82,49.64,135.12,22.77,87.15,823.57,318.57,372.69,1085.22,374.18,37.51,0,231.6,509.11,416.54,384.26,321.55,9.14,362.8,15.49,236.08,10.45,460.03,0.19,214.06,67.37,26.31,193.34,0,224.14
2.105,63.27,267.06,31.91,217.42,330.7,307.93,14.56,32.47,67.74,430.17,13.06,4.67,226.93,79.69,72.6,51.51,147.62,25.38,94.99,839.81,381.46,433.53,1181.7,390.42,46.84,0,243.54,492.13,452.75,444.91,354.4,19.6,356.27,25.19,227.31,11.57,496.42,0.56,192.22,84.54,36.02,217.04,0,242.8
2.807,72.78,300.09,44.42,226.56,350.48,326.78,11.94,35.46,101.71,443.05,12.32,11.57,231.41,90.33,91.63,67,108.99,34.71,119.44,905.31,412.44,458.91,1257.47,399.19,20.9,0,243.36,453.5,453.5,472.91,391.54,18.85,370.08,12.5,244.66,11.76,536.36,0.19,222.46,101.9,33.22,230.11,0,253.25
3.509,86.41,323.79,62.71,248.21,358.32,349.17,16.42,40.5,87.71,439.31,13.44,5.97,278.44,104.32,112.72,89.39,113.65,37.32,129.7,919.31,435.39,561.74,1202.98,405.72,7.65,0,247.65,509.3,458.16,511.35,416.54,33.78,376.79,22.58,274.34,14.37,583.39,0.93,221.9,112.16,38.63,243.92,0,281.24
4.21,98.35,353.47,76.7,257.73,371.01,361.3,25.75,52.07,71.1,507.43,28.74,7.46,281.43,113.65,130.26,104.32,117.57,47.22,131.01,1018.41,434.27,593.65,1277.81,438.01,32.29,0,257.17,528.52,461.33,519.19,443.42,54.68,335.18,9.14,277.51,14.56,624.26,2.43,225.44,120,51.13,287.77,20.72,299.34
4.912,107.68,373.99,84.73,270.79,367.84,391.91,29.86,44.23,102.83,506.68,10.45,5.41,281.24,128.96,132.69,114.4,117.57,53.93,135.3,985.19,455.36,660.84,1283.6,514.9,9.52,167.03,264.82,585.25,441.37,548.67,440.62,75.4,344.88,10.26,298.04,13.06,588.99,4.48,232.91,127.46,52.25,306.44,58.79,308.49
5.614,123.73,402.55,103.58,287.03,393.59,407.21,40.31,84.91,124.48,520.31,12.69,5.04,287.21,144.07,21.65,117.2,127.09,55.43,146.31,979.4,498.1,794.65,1327.46,542.7,5.23,170.95,257.17,536.54,476.45,585.63,474.77,72.78,367.84,8.02,379.41,15.49,198.38,6.53,259.22,142.77,56.73,309.42,73.34,325.1
6.315,133.06,412.63,113.65,311.48,387.62,421.21,61.03,64.01,116.45,488.58,10.64,4.67,321.18,178.97,29.3,123.17,113.09,65.51,153.78,1018.22,496.61,834.77,1338.47,570.51,92.01,182.52,260.9,485.97,510.98,590.29,518.44,71.85,434.46,8.02,395.46,16.42,214.62,10.08,252.13,137.54,55.61,340.59,131.76,338.35
7.017,136.42,435.58,130.64,315.21,390.42,440.25,69.42,77.82,115.71,522.73,18.1,4.48,304.76,211.26,28.93,122.8,120.56,78.01,160.31,1100.15,503.7,704.13,1374.11,567.9,53.37,198.75,252.32,637.88,468.8,623.88,524.23,81.37,362.24,54.49,405.72,15.68,265.75,32.29,243.36,159.19,62.89,339.28,144.26,349.73
7.719,146.5,458.35,125.41,340.03,411.88,463.95,78.01,88.09,105.44,556.7,6.91,6.53,353.28,216.3,38.07,150.61,113.28,81.18,169.83,1031.1,625.19,624.44,1349.85,582.27,5.6,215.55,264.26,833.46,453.68,655.98,549.98,100.22,365.78,1.12,420.46,15.3,244.66,54.87,250.26,198.57,67,402.17,180.09,359.62
8.421,158.44,501.09,130.26,353.28,418.41,486.72,85.47,89.58,94.8,545.69,25.75,7.84,365.04,210.33,30.05,163.67,116.45,78.94,181.77,1053.68,748.36,590.29,1412.74,573.68,79.88,226.93,273.78,1090.26,460.96,654.49,647.77,116.83,343.95,0.75,425.13,16.24,250.45,38.26,251.57,183.08,65.32,445.28,202.67,352.35
9.123,165.72,456.11,148.55,392.1,434.46,493.25,97.04,92.19,100.78,629.3,13.44,9.7,373.62,178.97,36.95,174.31,71.1,85.66,173.37,1023.26,826.74,499.59,1368.7,549.05,29.49,247.84,280.87,1053.68,443.61,682.48,587.12,127.09,348.24,2.24,445.28,18.48,233.84,39.75,247.28,205.66,76.14,487.46,249.52,365.41
9.825,167.59,435.77,159.19,418.6,443.05,511.72,129.14,97.42,125.04,591.78,6.91,8.77,356.08,154.15,151.54,185.88,55.99,83.23,206.59,1163.79,898.78,538.97,1351.53,584.13,9.33,233.09,318.57,951.78,418.97,679.31,585.81,137.17,273.22,0.93,461.89,18.66,259.59,50.76,237.2,213.5,82.67,440.06,285.72,365.04
10.527,169.83,549.79,162.55,429.8,459.1,532.44,143.33,67.37,111.23,679.31,6.91,12.13,373.81,214.06,193.16,275.27,79.5,73.9,254.74,1350.41,994.52,404.79,1385.87,570.7,24.07,249.33,385.01,971.19,413,692.93,608.58,153.22,127.46,1.49,482.05,20.72,294.87,49.08,266.69,223.2,121.31,448.83,316.14,385.57
11.229,181.77,663.82,170.01,463.57,465.63,543.82,156.2,104.88,117.95,577.97,21.09,13.06,354.96,263.7,197.07,341.34,136.42,71.1,250.45,1409.57,1011.5,426.06,1425.43,566.96,15.49,244.66,305.13,830.29,437.07,719.25,486.72,161.62,114.21,5.6,514.34,23.7,356.83,46.1,256.23,218.72,120.75,472.16,372.31,407.21
11.931,204.35,723.91,185.13,470.67,465.81,566.03,178.04,114.4,129.7,604.1,10.64,18.1,409.64,282.55,211.26,347.68,146.87,101.15,258.1,1332.31,999.93,612.87,1426.74,553.34,23.7,243.73,293.37,816.48,431.66,759.75,515.08,183.08,106.38,40.12,546.62,33.97,42.18,38.63,257.17,230.11,127.46,464.51,345.07,410.2
12.634,223.95,725.78,232.53,477.2,454.06,566.03,189.42,120.93,127.65,661.96,31.17,28.37,353.65,295.24,214.43,238.13,126.9,107.5,267.99,1370.94,1006.84,723.91,1415.73,399.56,15.12,248.77,251.01,734.55,457.79,754.33,531.88,187.74,59.91,74.09,546.62,39.38,26.13,42.36,259.59,234.77,149.67,515.83,376.23,364.85
13.337,216.48,771.5,256.61,512.28,446.4,598.69,214.62,129.52,158.63,631.91,8.58,20.9,358.5,310.36,222.83,231.79,117.2,123.55,275.83,1348.92,863.51,745.19,1422.82,459.84,2.99,254.18,236.08,756.57,474.4,770.38,562.3,193.53,128.4,82.11,555.77,48.52,28.74,47.22,273.59,252.69,155.08,525.53,498.85,383.14
14.041,215.74,791.66,256.42,546.99,449.02,633.03,214.62,129.33,136.61,615.86,4.85,19.41,354.77,295.43,220.78,199.87,113.65,121.31,279.56,1362.17,851.38,750.04,1459.03,462.64,6.16,267.62,215.36,731.94,474.58,762.92,533.56,184.94,69.24,71.66,562.86,54.87,27.62,36.95,276.2,248.77,158.07,536.54,636.76,396.39
14.743,219.28,817.79,261.27,559.31,454.43,648.89,241.12,159.75,142.21,657.66,1.87,25.19,339.84,312.41,230.11,208.09,94.99,130.08,287.21,1373.37,844.1,824.32,1415.73,529.64,26.31,253.06,208.46,844.47,502.02,765.53,508.74,256.61,68.86,79.32,585.63,68.12,43.3,36.21,215.74,267.62,171.51,576.67,610.07,390.98
15.445,223.58,824.13,291.13,581.71,449.02,685.28,255.12,155.27,147.06,677.63,,22.02,354.59,302.52,224.32,212.56,112.91,137.73,291.13,1326.9,881.05,872.65,1451.37,270.42,57.48,278.63,197.82,848.58,469.36,744.82,525.16,279.38,53.75,86.22,610.07,72.22,37.7,47.78,230.48,271.35,189.8,587.31,679.12,382.95
16.148,215.55,849.89,301.96,604.29,453.87,735.3,263.7,153.03,155.46,707.12,1.12,26.87,320.25,308.3,277.32,206.03,124.85,134,298.6,1349.29,912.96,902.7,1462.01,489.33,76.89,263.14,210.7,828.42,533,756.01,549.79,295.99,50.39,78.76,617.35,80.43,42.74,40.68,244.29,262.77,190.92,623.7,706.93,378.29
16.85,222.27,866.31,311.85,619.59,451.44,773.93,277.14,154.15,157.88,752.84,12.13,27.25,332.94,325.1,273.22,197.07,117.57,134.37,320.99,1319.43,979.96,888.7,1414.61,445.84,89.77,271.16,211.45,527.77,537.48,781.02,574.24,292.07,71.1,82.86,643.67,84.91,48.34,47.22,247.09,289.64,171.69,632.84,490.26,400.5
17.552,215.74,882.17,324.35,668.11,461.15,840.55,281.62,159.19,169.83,743.88,17.54,27.25,326.59,329.02,259.41,187.18,115.33,139.22,311.85,1311.97,992.28,853.8,1417.22,415.61,109.36,270.23,201.18,397.88,521.8,797.07,607.46,309.61,91.63,88.27,657.29,87.71,75.21,49.46,240.93,290.76,212.19,663.45,510.98,416.54
18.255,220.22,895.42,332.75,653,481.49,969.7,304.2,180.09,180.47,713.09,9.7,35.83,342.46,347.68,266.31,192.6,122.24,145.75,319.31,1351.72,1019.71,923.23,1442.79,409.27,130.82,286.28,224.32,298.41,560.62,811.81,591.97,343.39,116.64,77.26,648.52,92.94,80.43,54.49,249.33,289.08,204.17,668.11,533.18,356.08
