Time (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.041,441.55,295.05,163.3,12.13,16.8,20.72,435.39,45.35,483.54,1175.36,917.26,1230.79,2188.73,164.04,386.31,1153.9,855.3,366.9,548.49,704.88,580.4,294.68,160.12,108.99,298.04,24.82,102.64,271.91,540.28,422.52,377.91,17.54,51.88
14.743,519.19,304.57,207.15,11.76,15.68,24.07,451.82,44.23,522.55,1244.04,927.33,1317.01,2235.38,33.41,398.63,1146.24,887.4,370.64,531.51,724.66,618.1,334.99,164.04,111.04,312.04,12.13,103.58,280.31,538.04,401.99,402.55,20.34,55.24
15.445,522.55,319.13,266.13,29.49,18.66,25.38,472.91,53.75,577.04,1287.71,950.1,1380.83,2303.13,0.75,409.45,1078.13,918.75,374.18,574.24,732.69,621.08,330.51,171.13,103.39,310.92,7.46,109.73,266.87,553.15,415.05,427.56,22.39,50.39
16.148,539.53,341.71,247.84,20.16,24.63,24.07,490.45,36.58,527.21,1356.57,955.33,1480.49,2410.81,0.56,419.9,1025.5,964.85,370.64,573.68,750.42,643.48,151.91,179.53,118.69,324.91,7.84,108.06,271.16,558.75,425.32,456.86,35.09,60.65
16.85,560.99,352.91,258.47,14.56,43.86,23.14,489.51,35.83,476.45,1436.82,964.29,1558.68,2406.7,0.19,440.43,1046.96,1028.3,366.72,594.96,773,652.44,151.17,218.91,116.64,331.82,32.66,116.83,268.18,564.54,437.07,459.84,42.18,61.96
17.552,574.62,365.41,276.76,20.16,34.53,30.05,499.97,52.25,484.1,1538.71,975.48,1580.52,2493.3,,429.42,1099.03,1046.4,356.08,636.76,771.13,675.58,150.79,102.08,127.84,329.76,6.53,113.65,272.84,563.6,463.39,501.27,44.42,71.66
18.255,572.19,382.39,274.71,16.42,37.7,23.89,511.54,46.84,499.59,1597.5,983.32,1629.97,2478.37,0.93,421.77,1109.29,1113.21,350.48,657.1,814.43,699.84,125.22,104.14,148.18,347.87,7.28,129.52,274.52,576.85,481.86,528.71,47.4,74.09
18.957,591.22,400.31,288.15,20.34,35.46,28.55,517.88,60.47,499.03,1674.58,995.27,1653.12,2543.69,119.25,450.88,1148.3,1128.33,341.34,681.55,822.08,725.97,145.94,123.55,141.83,347.12,10.08,117.95,263.14,576.29,498.1,572.19,59.72,70.73
19.659,611.38,433.34,311.1,27.25,34.53,24.07,558.19,58.79,469.36,1753.33,1007.4,1647.14,2550.59,299.9,453.12,1176.66,1191.41,335.36,655.61,814.99,741.64,117.57,174.87,144.26,345.81,2.05,113.28,272.47,573.31,514.15,589.36,67.18,83.05
20.361,611.94,438.75,326.59,21.28,37.32,40.68,595.7,68.86,472.72,1788.6,1016.54,1637.07,2597.62,379.59,460.77,1192.34,1213.06,351.41,643.48,829.92,766.46,157.7,177.29,150.98,359.06,41.24,86.97,275.83,576.67,553.34,625.94,83.61,89.02
21.063,625,438.01,343.01,18.1,43.67,33.03,618.85,67,468.99,1846.83,1025.87,1628.11,2537.15,411.88,486.34,1242.36,1236.57,360.56,624.26,832.16,794.09,134.18,191.48,160.68,369.89,36.95,80.25,270.98,597.2,552.03,667.55,84.54,84.17
21.765,650.01,456.67,344.69,17.54,46.47,34.71,644.97,53.56,474.77,1867.55,1054.61,1615.42,2576.34,438.57,497.91,1272.22,1293.3,357.57,633.4,835.14,790.35,128.77,164.04,170.95,378.85,53.56,160.12,271.16,594.21,572.75,696.11,86.22,92.38
22.467,667.18,498.47,355.71,17.54,49.64,40.68,658.04,53.19,487.46,1911.4,1082.42,1613.92,2551.52,440.25,484.85,1273.52,1406.96,360.56,652.06,866.68,809.02,127.46,161.24,196.33,381.46,55.05,179.53,278.07,606.71,581.52,728.58,100.4,97.98
23.169,695.73,407.77,376.61,19.6,49.46,50.95,675.21,51.32,488.02,1971.68,1095.48,1611.87,2570.93,464.51,506.68,1299.65,1360.86,376.61,652.62,853.24,848.21,118.51,159.56,215.74,391.91,61.59,175.99,279.56,609.14,595.33,742.58,106.19,103.39
23.871,708.8,377.73,373.81,16.61,53.75,50.2,749.86,42.92,432.78,1984.75,1132.06,1601.23,2572.8,470.48,526.65,1314.21,1443.16,388.74,647.03,877.13,875.83,132.32,157.51,218.35,393.96,62.89,207.9,287.96,608.21,609.89,752.09,114.4,116.64
24.573,726.53,384.82,340.4,16.24,53.93,55.43,786.06,42.55,419.53,2015.73,1177.6,1598.43,2615.16,467.68,529.45,1345.37,1413.3,406.09,674.65,898.59,892.81,140.34,133.62,221.9,395.83,68.3,219.28,294.68,611.19,627.62,770.57,119.63,109.18
